,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
0,3952.3580503751973,31,1.2
1,3952.3580503751973,31,1.2
2,3656.409413641726,3,311.0
3,3523.258193024275,7,113.5
4,3693.9354490718697,10,226.0
5,3828.372729336308,1,242.0
6,4278.9810567322775,0,
7,4670.408346444037,2,750.0
8,5324.99893767786,0,
9,6138.777500528893,21,137.0
10,4312.142985593178,21,301.0
11,4985.983174384986,5,462.3333333333333
12,6819.598010804044,2,306.0
13,9776.78248450308,4,419.0
14,10999.378475185302,3,486.0
15,12788.510016474302,2,389.0
16,18870.092983879193,0,
17,21448.504247555255,0,
18,22658.690202004385,0,
19,24876.832575476383,0,
20,4312.142985593178,21,301.0
21,3889.182953509909,100,124.33333333333333
22,25736.394402862283,0,
23,29698.477846378417,0,
24,28890.99626673106,0,
25,3530.7187651264753,11,168.0
26,3530.7187651264753,11,168.0
27,3928.6150917508535,0,
28,3571.9508871208004,41,17.9
29,3539.6318134394674,34,34.22222222222222
30,3873.1720430968776,47,51.8
