Sample,WWTP_influence_as_tracer_mean_dist,WWTP_influence_as_endpoints_mean_dist,WWTP_influence_as_cumulated_residence,WWTP_influence_as_mean_time_travelled
Schlei_S10,3004.1436010176585,3413.9091782533783,4896,4.794183445190156
Schlei_S10_15cm,3004.1436010176585,3413.9091782533783,4896,4.794183445190156
Schlei_S11,2684.0536245643502,3048.089193234331,5522,119.23053892215569
Schlei_S13,2538.6138791053227,2821.7806073148345,3396,120.75757575757575
Schlei_S14,2853.780758026396,3032.6258369104758,580,132.7795275590551
Schlei_S15,3060.3973644418043,3203.1716747912055,445,157.44915254237287
Schlei_S16,3781.120102948433,3768.1686975653024,1132,188.95909090909092
Schlei_S17,4394.960039549312,4310.268042011612,421,216.63829787234042
Schlei_S19,5253.118135852507,5128.470525057088,66,208.92156862745097
Schlei_S1_15cm,5329.7786561546,5776.524714414926,1041,149.5921052631579
Schlei_S2,3497.0825168115366,3915.010701693862,1963,155.40641711229947
Schlei_S20,4749.119165521475,4683.20795669555,628,202.45341614906832
Schlei_S21,6932.188011649971,6791.60044137475,221,218.6056338028169
Schlei_S22,10162.141475827264,10004.524936640768,302,213.73076923076923
Schlei_S23,11455.178309899817,11272.071960822665,351,259.7894736842105
Schlei_S24,13368.146114997528,13139.669524982563,160,242.30769230769232
Schlei_S25,19553.002163157737,19262.093842908995,20,267.3333333333333
Schlei_S26,22145.777629313005,21835.82976831621,5,252.25
Schlei_S27,23343.369491449183,23034.34444953273,0,489.0
Schlei_S29,25518.896676275395,25222.187676718695,0,489.0
Schlei_S2_15cm,3497.0825168115366,3915.010701693862,1963,155.40641711229947
Schlei_S3,3048.941851159087,3434.2057117455233,3615,151.58035714285714
Schlei_S30,26367.90909649862,26073.163643285818,1,258.0
Schlei_S31,30374.94397524652,30029.33747526268,2,281.5
Schlei_S32,29532.27780025243,29216.670029992034,18,295.0
Schlei_S4,2563.206629559193,2855.072115058158,4944,117.95744680851064
Schlei_S4_15cm,2563.206629559193,2855.072115058158,4944,117.95744680851064
Schlei_S5,3089.61619877431,3362.036831534424,616,65.79139072847683
Schlei_S6,2591.064444870001,2941.2071335134897,7631,109.17450980392157
Schlei_S7,2538.4319262667586,2900.140703934564,6497,113.21645796064401
Schlei_S8,2917.5014809488157,3316.0036997765433,7040,13.449162011173184
